Nama_Usaha,Alamat_Usaha
SUMBER BAROKAH,Dusun Randulimasatu RT.012 RW.002
LENSA OUTDOOR BONDOWOSO,jl.panjaitan rt 01/ rw 01 kelurahan tamansari.kabupaten bondowoso
IKINZ MEUBLE,"Dusun Krajan RT.001, RW.001 "
TANI,JL. KIS MANGUNSARKORO RT 007/RW 003
PERTANIAN,Jl. Argopuro RT01 RW01 Sumber Salak Curahdami Bondowoso
Es Dawet ,JL DIPONEGORO GG MALABAR
Warung Peracangan,Diponegoro
MANDIRI USAHA,RT.013 / RW.002
TOKO ANDIKA,Trotosari RT.05/RW.01
Kuliner Mas Blangkon,Perum Pancoran Mas B12 RT. 035 RW. 013
BENGKEL GIO,KEMBANG PERMAI L  10 RT.028 RW.010
CARANG MAS DARI BUAH APEL,"Jl.veteran no.60 depan polres Bondowoso, pasar buah Jawa timur"
UD NINA CAMILAN,DUSUN SRATEN 01
Double A collection,Dusun dakon desa kejawan rt 14 rw 3 kecamatan grujugam kabupaten bondowoso jawa timur
BANAJ,jL. kOPRAL MOERIN RT.00 RW. 02 Pejaten 
,JLKOPRAL MOERIN RT.00 RW. 02 PEJATEN 
MBOK QOIS,Lumbung RT 012 / RW 004 
TOKO AZ ZAHRA,Dusun Krajan RT 011 RW 005
,Dusun Kratan RT 011 RW 005
,Dusun Krajan RT 01 RW 005
,Dusun Krajan RT 011 RW 05
JUAL KUE,KOTA KULON RT.15 RW 03 BONDOWOSO
DINDA CELL,DESA LUMUTAN RT.019 RW.005
SAKTI STORE,Dusun Binakal RT.06 RW.02
JUAL BUBUK KOPI,Jalan Rengganis No 9 no 35/10
UD BAROKAH JAYA TEBU,MANGLI WETAN RT 11 RW 05
UD RIAMA I,SUKOSARI LOR RT.01 RW.01
CATERING MAKANAN DAN MINUMAN,DUSUN GENTENGAN RT 8 RW 3
Meubelair Kayu,"Dusun Pendil Rt 03 Rw 01 Desa Pakuniran, Kecamatan Maesan Kabupaten Bondowoso"
JAKFAR AL HASIN,"Desa Tangsil Kulon, Rt. 002 Rw.001 Kecamatan Tenggarang"
Penjahit,Jl Letnan Sutarman 57
DJATI ABADI,"Botolinggo, Rt: 018 Rw: 008"
PRODUKSI KUE BASAH,Jl. Jenpol S. Yudodiharjo
DUA LENSA OPTIK,JALAN AIP MOEGIMAN KONCER KIDUL KEC. TENGGARANG KAB.BONDOWOSO
Dagang Isi Ulang Tinta Spidol,Tamansari Indah B3 Rt 20 Rw 07 Tamansari Bondowoso
KURMA,Jl. A Yani No. 58 Rt. 024 Rw. 004 
,Jl. A Yani No. 58 Rt. 024 Rw. 004
djOniesTudio,Perumahan kironggo gg. 2 no 18 Bondowoso 68292
TOKO,DAWUAN BATU RT 003 RW 002
Warung Djuharijah,Jalan Letjen Sudiono RT 16 RW 04 Kelurahan Dabasah
TOKO NEW EFERATA,JL.MAYJEND PANJAITAN RT.003 RW.001
DEPO AIR MINUM ISI ULANG,Dusun Paleran RT. 004/002
WARUNG BU TOTOK,Pujasera Jembatan Kironggo 
Bumbu Masak Buk ju,"Jl. DR. Cipto Mangunkusumo 33, RT/RW 021/003, Kel. Badean, Kec. Bondowoso"
DAGANG,"Dusun Krajan Rt.002/Rw.001 Desa Pakem, Kec. Pakem, Kab. Bondowoso"
Rumah Belajar/Les Privat/Instal Ulang Laptop,Jl HOS Cokroaminoto RT 9 RW 2
PUJI JAYA,PERUM GRIYA ASTARI BLOK A-1
pertanian,Desa Jetis RT 13 RW. 06
es degan ijo,jl.mt.haryono no 41 04/01 kotakulon bondowoso
DEERTEES,Jalan Santawi 12-14 Bondowoso
SUQ MX,Desa Prajekan kidul
cemilan lek doni,tangsil wetan
Penjahit,Ds.Jurang sapi rt.044 rw.014 kec. Tapen kab. Bondowoso
CABE ALAM RAWIT,Dusun karang anyar RT. 039/009 Desa Tamanan Kecamatan Tamanan
QUEEN SALSABILA,JL.SOEKARNO HATTA ARAK-ARAK  DEPAN PERTOKOAN WRINGIN
BENGKEL BAROKAH,"DESA PADASAN RT 11,RW 5 KECAMATAN PUJER  "
3D Komputer,Perum Kembang Permai Blok M. 14 RT 28 RW 10
MEBEL WAYU,Jln K.H. ALI Rt 15/Rw 04 Bondowoso
Ayu Bondowoso Tours,Jl. Zainul Arifin no.38 RT/RW 004/001
Bang Afa,"JL.KH.ASHARI RT.19 RW.04 Kademangan, Bondowoso"
SETRA LINARA,SEKARPUTIH RT.04 RW.02
TK MASTRIP,JL.MASTRIP NO.43 RT 7 RW 4 PANCORAN - BONDOWOSO
UD. PUTRA PUTRI,JL. ZAINUL ARIFIN 30 A RT. 004 RW. 001
TK PGRI 5 BINAKAL,jl.Tancak Kembar RT09 RW02
UD.WAHYU,KAJAR RT 11 RW 04
PANDAI BESI,DUSUN KARANG TENGAH RT 15 RW 03
KB KURNIA,Jln Besuki Dusun Pal 16 Desa Sumber Tengah RT. 006 RW. 002 Kecamatan Binakal  Kabupaten Bondowoso
Dapur nikmat,Jl.imam bonjol ll/510 Rt015 Rw.003
Kens duren bondowoso,Jl.zainul arifin no 16
Edy Ternak,Panjaitan GG Merak 29 RT/RW 006/002 Tamansari
Wulan's C&C,Jl. HOS. Cokroaminoto
NICE COFFEE,Jl. Madura No.23 Perum Kademangan Indah Bondowoso
""" RAUNG PERKASA """,Desa Sukosari Lor Rt.022 Rw.010
APOTEK PURI CIPTA SENTOSA,Letjen Suprapto no 57 RT 08/RW 02
Pondok Herbal,Jl mastrip 15 rt 17 rw 07 pancoran
Juice buah aserehe,Kedai di bondowoso
"Olshop Baju, celana, Dll","Dusun Song Tengah RT 020 RW 006, Desa Karanganyar Kecamatan Tegalampel Kabupaten Bondowoso"
Avandi Fotocopy,Jl. KH Asyari
PRODUKSI KRUPUK IKAN SUPER JUMBO,"JLN KISMANGUNSARKORO, NO.33 TAMANSARI BONDOWOSO"
Kue,Dusun Bunduh Desa Desa Bataan Kecamatan Tenggarang
PENJUALAN RAMBAK/ KULIT SAPI,dusun krajan selatan RT 07 RW 01 Desa tamanan kecamatan tamanan
WARLES STAR,DUSUN TAMANAN TIMUR RT.017 RW.004
,DUSUN TAMANAN  TIMUR RT.017 RW.004
Kedai Sembako,Krajan 1 Rt 5 Rw 1 Desa Sumber Wringin Kec Sumber Wringin
toko bahan mantah dan pangan,Desa Sumber Salam Rt. 17/Rw.06
JUAL CAMILAN KELILING,KRAJAN RT.12 RW.02
PRIMA.NET,"Desa karang anyar, Rt.05, Rw.02, Kec. tegalampel, bondowoso"
NASI PECEL B. SUPAN 2,Jl. PB. Sudirman
KEDAI TINI,"Jl. Sumaga RT 05 RW 03 Ds. Penambangan, Kec. Curahdami"
Jual cilok,Jl ayani gg kasuran
toko peracangan,dusun klampokan desa klampokan kecamatan klabang kabupaten bondowoso
Penjahit,jl. RE Martadinata gg III/31 Dabasah Bondowoso
ice cream dan counter,maesan kec. maesan kab. bondowoso
Bengkel,Jenpol sucipto yudodiharjo
FILA COLLECTION,PERUM PANCORAN MAS H.04
JUAL MIE AYAM,KRAJAN 10/03
FURNITUR KOMBINASI ,"Jl. Kodedek, Dusun Kraja, Rt. 08, Rw.03"
UD SUMBER RAHAYU,RT.014 RW.006
ANEKA JUS BUAH,ALUN - ALUN BONDOWOSO
Beetoys,Jl kh agus salim gg taman rt 10 rw 003 Blindungan Bondowoso
Pengrajin & penjual masker,Prajekan lor
"CATERING ""RIAN""",JALAN CIPTO MANGUNKUSUMO NO.32 RT.20 RW.03
,JALAN CIPTO MANGUNKUSUMO NO.32 RT.20 RW. 03 
RITA FASHION,Perum taman mutiara z no 3 RT 020 RW 006
UD. SENTOSA BERKAH ABADI,"JL. RAYA WRINGIN NO. 8, WRINGIN, KEC.WRINGIN"
DwieSketsa Wajah ,Perum Kembang Permai Blok N8 Bondowoso Jawa Timur
SULISTYAWAN MOTOR,CERMEE RT 013/000 Desa. Cermee Kec. Cermee
Santi Cake,jl. k.h agus salim 28 Rt 8/03 
I'AK GALLERY,"Jl. Raya koncer kidul, Dusun jatian Rt:28 Rw:09"
BUNGA COLLECTION,Jl.PB Sudirman II/52 Bondowoso
,Jl.PB Sudirman II/52
KIRAINA BEDDING,Perum Wijaya Kusuma Klaster Blok G. I Gang Wijaya Kusuma
RUMAH GIZI IKAN,Kampung Haji No. 13 RT/RW 001/001
DWI CATERING,Perum. Lumbung Asri B. 51 Rt. 037 Rw. 006
,Perum Lumbung Asri B.51 Rt.037 Rw.006
Wulandari Cake,jln Mt Haryono no 12
ES BUAH JAYA,Kembang
Usaha Jamur Tiram,Randu Cangkring RT 13/02
KAFA SABLON,Tangsil kulon RT 10 RW 3
JUAL KOPI DAN CAMILAN,MANDIRO RT.04 RW.01
dwie collection,Blindungan Rt 006 Rw 002
Molreng Bondowoso,"Jln pelita RT22/RW07, Gang asoka 1 , Tamansari, Bondowoso dan kedai pentol ndower solo depan hw bakery jln panjaitan, bondowoso"
PERDAGANGAN BESAR BUAH-BUAHAN,Jln re martadinata pas selatan kantor pos
UD. BUNGUR RASA,Jl. Mayjen Sutoyo No. 21
KEDAI LADA HITAM,"JL. KHAIRIL ANWAR 203, RT 006 RW 001"
TOKO DYVA,Vila Emas E1-04 RT 28 RW 8 Sumber Salam
Ginanta Hydrofarm (Hidroponik),Perumahan Pancoran Residence A7 
BABY SHOP,Jl. Diponegoro RT.16 
PENJUAL PERALATAN RUMAH TANGGA DAN KOSMETIK BPOM,JALAN KIS MANGUNSARKORO RT 19 RW 02 TAMANSARI KECAMATAN BONDOWOSO KABUPATEN BONDOWOSO
SMK MAMBAUL ULUM,"Jln. Stasiun Prajekan, Prajekan Kidul, Rt. 004 Rw. 015 Prajekan Bondowoso"
peternakan ayam,dusun koncer malang 2
apotek,desa sumber pandan RT 05 RW 02
furniture,klabang 03/02 
LEO SAPUTRA,"Desa Kemuningan Rt.05 Rw,01 "
Edy Art Glass,Desa Jumpong RT 002 RW 001
UD. HASNA BAROKAH,Dusun. Krajan 02 Rt. 007 Rw. 002
bengkel,Dusun Blok masji Rt: 13/6
Las listrik,Jln.khairil anwar.rt.33/01. 
TOKO SINAR ABADI,JL.RAYA JURANG SAPI RT.043 RW.014
Fish_edi'Store ,Jl. Raya Pujer
SANTO JAYA,"Sukosumber selatan,Rt 9 Rw 2,"
Es Dawet Kandedes,JL. RE. MARTADINATA 140
TOKO EDI SUYANTO,Dusun Krajan Rt.007/ Rw.002
UD. NADITA,"Dusun Jatian Rt.11/06, Desa Sumber Pandan"
UD Berkah Jaya,kapuran RT.003/002
WARUNG KOPI EDO,"Jl. Mayjen Panjaitan RT.03 RW.01
Kelurahan Dabasah"
Toko amelia,Dusun tanian panjang RT 20 RW 04.patemon
UD Q BROJO,DESA PANCORAN DUSUN PASENAN RT.019 RW.008 BONDOWOSO
BENGKEL,KARANGANYAR RT.03 RW.01
UD.GUDANG 99,Jl.Y.Reksowiyono.ds.Sukosari.RT.022/RW.010
Haydar Jourdan Coffee,Jalan KH Asyari Gang Jourdan No.924 
DEVITA ASRI,SEKARPUTIH RT.003/RW.001
NASI,TEGALMIJIN RT 001 RW 001
UD DIANA PUTRI,DESA KEJAYAN
Edy Online,Jl. Kis mangunsarkoro
Pedagang,MT HARYONO No 22 RT 15 Rw 03
Warung Bu Sukri,jalan meyjen soetoyo 45 rt 16 rw 004
WIWIK APRIATINI,Perum Tegalasri D.18 RT. 007/ RW.002
SUMBER REJEKI,Kobunduh rt 19/rw 05
Kebun Buah Naga,Desa Blimbing RT 11 RW 02
Berkah shopp,Jl. Hos. Cokroaminoto
KERIPIK SINGKONG EFA,"Desa Penanggungan, RT 08/ RW 01
Kecamatan Maesan,
Kab. Bondowoso,
Provinsi Jawa Timur."
GERABAH EFAWATI,DUSUN KRAJAN RT 09 RW 02 
Efendi jaya,"Krajan I, Rt: 001 Rw: 001"
sales cosmetik dan palen,dusun karang pande rt 002/rw001 grujugan lor jambisari darushollah bondowoso
PETERNAK LELE SUKSES,desa grujugan kidul RT. 23 RW. 04
UD AL-KAHFI. JAYA,DESA KLAMPOKAN RT.007  RW.002   KEC. KLABANG  KAB. BONDOWOSO
WARUNG BUK SALWA,JL.KH.AGUS SALIM GG TAMAN RT.032 RT.001
ELI SHOP,DESA WANISOSO RT 2 RW 1 KECAMATAN GRUJUGAN KABUPATEN BONDOWOSO
Toko Dinda,KH. ZAINUL ARIFIN I/141
Warung Makan ,"jln Saliwiryo pranowo, bondowoso kode pos 68219, Jawa Timur "
jualan bahan pokok rumah tangga,"botolinggo, kec. botolinggo kab. bondowoso"
KEDAI MIK SUSU,Bataan Rt 06 Rw 02
CATERING FITRI,SEKARPUTIH RT 017 / RW 005
Beestuff.os by Indah Aditia,Dusun singal RT 24 RW 05 desa wonosuko kecamatan Tamanan
WARUNG MAKANAN,SUMBER WRINGIN RT/RW 18/03 
Lalapan lesehan,Jln imam bonjol
AYAM PETELUR,Jalan Pakisan RT.34 RW.10
eka alshop,taman
UD WULANDARI,Penanggungan
Dagang,Plampang Utara
Eka Jaya,Dabasah RT 004/RW 001 DABASAH BONDOWOSO
AR Studio,Dusun Sumberkanco
KIOS NADIA,PERUM The Green City Blok C 8 Rt 22/ Rw 04 
JUAL GORENGAN,DUSUN KARANG TENGAH 11/04
Penjahit EKA,Wonosari Rt.33 Rw.11
PENJUAL LELE,Jl.yudodiharjo gg purbosari depan rumah sakit bhayangkara
,Jl. Yudhodiharjo gg purbosari depan rumah sakit bhayangkara
Mie Ayam Pesona,"Dusun krajan
Desa curahpoh
Rt. 05/Rw01
Kecamatan curahdami. 
Kabupaten Bondowoso"
QUEEN OF PASTA,JL. A. YANI 51/08 RT.12 RW.03 DABASAH BONDOWOSO
ZNB RELOAD,Jl mastrip dusun wangkal desa sukowiryo RT 12 RW 03
JUAL BAKSO,SUMBERSUKO RT.09 RW.02
Bu Eki Sembako,Perum Mutiara Blok N13
Eki Sparpart,Desa Trebungan Rt 12 Rw 02
Ekie Net,RT.012 RW.002
TOKO PUTRA JAYA,DUSUN LUCU RT. 39 RW. 13
FREELANCE PALEN RERE,KASEMEK RT.002 RW.001
dagang,RT.17 RW.006
"UD "" ARI RAWIT """,Desa Kerang Rt.014 Rw.007
"UD ""AMANAH JAYA""",RT. 003 / RW.001
AVOREO,Jalan RE Martadinata No.06 RT.23/RW05 Dabasah 68211 Bondowoso 
ROJO JOYO,RANDU CANGKRING
UD WIDIA COFFE,Dusun Tengger Rt 12 Rw 03 Desa Sukorejo Kecamatan SumberWringin
SAMOESIR SCREEN PRINTING,Krajan RT 002 RW 001
Jual Beli Tembakau,Desa Pejaten Rt 016 Rw 004
TERNAK KELINCI,desa pejaten rt 16 rw 04 kecamatan bondowoso kab bondowoso
"TOKO "" SINAR MULIA """,Desa Kerang Rt.001\Rw.001
HOBI TANI,DESA WONOSARI RT.027 RW.009 
TOKO RAJAWALI,RT 27/RW 05
UD. SANCA JAYA,Prajekan Kidul RT. 02/ RW. 04 Desa Prajekan Kidul 
,Prajekan kidul RT. 02/ RW. 04 Kecamatan Prajekan
"RUMAH MAKAN ""SURO""",Jl. Sukowono RT 021 RW 007
Warung Kopi Cak Eko,Jl. Raya Situbondo Drasah RT.24 / RW.10 Desa Kalitapen Kecamatan Kabupaten Bondowoso
bengkel sepeda motor,dsn. kampung haji RT 5 RW 2 
EKO TANI MAKMUR,DUSUN BUNUTAN RT.042 RW.014
GENTENGPRESS,DUSUN KRAJAN RT 008 RW 003 KONCER KIDUL KEC.TENGGARANG KAB. BONDOWOSO
BAROKAH,"Gayam Klompang, Rt: 008 Rw: 012"
JUAL PAKAN BURUNG,DESA GRUJUGAN KIDUL RT.23 RW.04
PENJAHIT EKO 76,JALAN S PARMAN Gg MAYOR 260 RT.007 RW.001
ECom Service Komputer,Jl. Raya Wringin RT.002 / RW.004
UD. DAFA (PERDAGANGAN APOKAT / BUAH BUAHAN),Dusun Krajan RT.1 RW.1 
UD. SUMBER REJEKI BARU,"Desa Locare, Krajan Curahdami Bondowoso"
Budidaya Ikan Barokah,Dusun Tamanan Timur RT 14 RW 03
LAPAK SEMBAKO BAROKAH,BOTOLINGGO RT.002 RW.001
pertanian ,jetis Rt 11/ Rw 06
Pertanian,Pelalangan Rt:18/8
UD SUKA RUKUN,DESA KALIANYAR RT.008 RW.002
KRIPIK B EKUS,Banyuwulu RT 01 RW 01 Desa Wringin Kecamatan Wringin Kabupaten Bondowoso
TOKO PANCUR JAYA,DESA BOTOLINGGO RT.007 RW.OO3
,DESA BOTOLINGGO RT.007 RW.003
PERUSAHAAN ICE CREAM ELLY,Desa pucanganum Rt 05. RW. 01 kec. Jambesari darus sholah
TOKO KANG ADE,Desa Kerang Rt.007 Rw.004 Kec SUKOSARI
rafiqisnack,JL. PIERRE TENDEAN NO 1
Jual Daging Ayam,JL KH ZAINUL ARIFIN 20 RT 004 / RW 001
DEPO AIR MINUM ISI ULANG,Jalan A Yani gg 1 no 15 kel. Dabasah Kec . Bondowoso kab. Bondowoso
,Jalan. A Yani gg 1 no 15 kel Dabasah kec Bondowoso. Kab Bondowoso
"kedai ""AdzFa""",jalan kismangunsarkoro gang melati no.3b
PERACANGAN,MAYJEN PANJAITAN I/41 RT/RW 002/001
KREA-C MEDIA,"BUKOR, RT.04 RW.02"
,Desa Bukor RT.04 RW.02 Kec. Wringin Kab. Bondowoso
,"Bukor, RT.04 RW.02 "
WARUNG BAKSO,Dusun Krajan RT.001 RW. 001
Cafe Kepo Bonsai,Jl.kh.Ali Gang 3 PDAM Keluraham Sekarputih
PERDAGANGAN BESAR BUAH-BUAHAN,Jl.Ahmad yani no 107 pas depan kejaksaan Bondowoso
PENJUAL LOMBOK,DUSUN KRAJAN RT 09 RW 03
"KUE KERING ""BAROKAH""",JLN LETJEN SUPRAPTO GANG PESANTREN NO 20 RT.013 RW.003
minuman temulawak dan kunir asam lereng ijen,Jl Diponegoro Gg. I RT.003 RW.001
Johan Sablon,Bandelan Rt 03/  Rw 01
ELLY BAKERY,RT 01 RW 05 DS. WRINGIN KEC. WRINGIN
TOKO 2 PUTRI,Jl. Sukowono Pasar Tamanan Toko 2 Putri
Smile Chocolate,Poncogati rt 018 rw 004 poncogati
El Tamiimah Collection,Klampokan RT 006/ RW 002
LISHA SHOP HOUSE,Jl.Pelita No.09 RT.15 RW.06
UD. TANI RIA MAKMUR,Desa Bercak Asri RT. 009
Kosmetik,Jl.ahmad yani Asrama perintis no.3 badean-bondowoso
Tanaman bunga,"Jl prajekan lor RT,01,RW 06"
TOKO ALIM,JL.LETNAM RAMTAM RT.004 RW.OO1 
""" TOKO NAURA """,Desa Pecalongan RT.008 RW.002
SOTO BLEDEK,JALAN AHMAD YANI BUNDERAN NANGKAAN BONDOWOSO
WARUNG ELY LOPIS PECINAN,JL.PB SUDIRMAN RT.020 RW .005
PEDAGANG KUE,DUSUN KRAJAN RT.01 RW.01 
SUMBER REJEKI,RT.009/RW.003
Ternak ayam,LETNAN SUDIONO 23
HARAPAN BARU,RT.011 / RW.002
WARUNG SAYUR BU EMI,KADEMANGAN RT.026/002
pengolahan lele,jl. Diponegoro gg.malabar kelurahan kotakulon kabupaten bonodowoso
KONTER EMILDA,dusun lumbung rt. 03 rw. 01 desa curahpoh
Warung Buk Tin,Grujugan Kidul RT 008/ RW 002
TIGA SAUDARA,Desa Koncer Kidul RT.001 RW.001
Penjual jus buah,Jl R.A KARTINI
EMPAT PUTRI,WRINGIN RT01/RW12
JUAL GORENGAN,CURAHPOH 04/01
ARIS CAKE,JLN. KIS MANGUNSARKORO RT 008/ RW 004
PRODUKSI KERUPUK,Dusun Mengen Selatan RT. 009 RW. 003
ENDAH PENJAHIT,Jl. Kis Mangunsarkoro no.12 RT 5/Rw 2
DEWA'S BOLEN,"Pondok Pancoran mas,blok B5 Bondowoso"
,Pancoran Mas Blok B5 Bondowoso
UD BANDILAN SAMPURNA,RT 023 RW 010
,BANDILAN RT. 023 RW. 010
,BANDILAN 023 RT. 010
CATERING MBAK ENDANG,KAJAR RT.004 RW.002
KOKO MILK TEA,Dusun Paleran RT. 04/02
pedagang bensin eceran,jalan pelita no 28 16/06 tamansari bondowoso
CAHAYA UTAMA,JL.KH AGUS SALIMXII / 03 RT.015 RW.004
Pedagang,Sumber Salak rt/rw o4/02
"""KARTIKA CATERING""",JALAN PB. SUDIRMAN NO 15 
,JALAN PB. SUDIRMAN NO. 15
Jual makanan dan minuman,Jl.re martadinata gang 4 bondowoso
Keripik Singkong,Desa Banyuwulu RT.04 RW.02
KEDAI GADO-GADO,PELITA 31 RT.016 RW. 006 
Warung Kopi,Jl. Jenpol Sucipto Yudodiharjo
PENJUAL ARUM MANIS,GRUJUGAN LOR RT.08 RT.03
WARUNG MAKANAN KAKI LIMA,JL HOS COKROAMINITO 48 RT.24 RW.04
PKBM AL AZHAR Paket A,Jl. Kopral Moerin RT 15 RW 03 Desa Pejaten
BERKAH,Los Pasar Desa Jebung Kidul
Catering & Cakery Mak Endang,Perum Pancoran Mas A/4
JUAL BAKSO,"DESA KLABANG RT.11 RW,04"
BAKWAN BAROKAH,BLINDUNGAN
Laksono Jaya,kh agussalim rt 0032 / rw 001
Es degan ijo,JEND.POL.SUCIPTO.YUDODIHARJO
Pakaian,"Sukosumber II RT 014 RW 002, Kecamatan Sumberwringin, Kabupaten Bondowoso"
Kue Bu Eni,wringin Rt 001 Rw 013
Warung Sayur Mayur Bu Citro,jl A Yani Gg A belakang Koramil kota bondowoso
Mayang Shop,Dusun. Tahuan 
"KIOS ""ZAKA-ZAKI""",Jalan Raya Kawah Ijen RT. 002 RW. 001
Penjahit Tanjung,DESA PENAMBANGAN KECAMATAN CURAHDAMI
TOKO PRACANGAN,PETUNG RT 09 RW 04
Mie Ayam,Dusun Karang Malang RT/RW 021/005
UD USAHA BARU,LUMUTAN RT.065 RW.012
Aura Fotokopi,Jl. Raya Pasar Cermee Bondowoso
PEKEBUN,Desa Sumber Salak rt 04/ rw 02 Krajan
Nes Hijab,Jl. Teuku Umar 41
nasi bungkus,jambe anom
TOKO IBOE,"JL. PB. SUDIRMAN NO. 86, RT.036, RW.008"
,"JL. PB. SUDIRMAN NO. 86, RT.036, RW.008 "
toko pracangan,gunosari rt/rw 007/002
Warung Cemilan DDD,"Jl. KH. Agus Salim Gg.IX RT.04 RW.02
Blindungan - Bondowoso"
"TOKO ""DAMAI""",DESA BOTOLINGGO RT.05 RW. 03 
Sasa Nursery,Desa Petung RT 005 RW 002 Kec. Curahdami Kabupaten Bondowoso
TEMAN DUDUK CAFE & COFFEE SHOP,Jl. Diponegoro 44-2 ( samping toko fatima Bakery ) Bondowoso
TOKO WAHYU,Desa Pancoran
Eny Cookies,Pejaten RT 21 RW 06
TOKO AISYAH,Curahpoh 004/001
SALON SETIA KAWAN,Jl. Argopuro Dusun Krajan RT 002 RW 002
""" ERFAN NETWORK """,Dsn. Simpang Tiga Rt/Rw : 006/000
Es buah,Desa petung rt 2 rw 1 curahdami bondowoso
R-CELL,Desa Mengok Rt 014 Rw 002 Kecamatan Pujer
MEBEL AULIA,DUSUN PAKEL RT.004 RW.008
Warung peracangan susi,Jalan KH. Agus Salim RT.06/RW.02 
SETIA MOTOR,"Botolinggo, RT 009/RW 004, Kel. Botolinggo, Kec. Botolinggo, Bondowoso"
UD PERISAI,DESA LUMUTAN RT.058 RW.011
Warung makan,Desa.suco lor rt.24 rw.006 
UD KK MOTOR,DESA PAKISAN RT.009 RW.002
Budidaya Jamur Tiram,Jl. Tamanan Desa Pejagan RT 010 RW 003 Kecamatan Jambesari Darus Sholah Kabupaten Bondowoso
fani olshop,perum kademangan asri blok d 1 no.4
VIN CELLULER,Dusun LucuBbaru RT 018 RW 004
BAROKAH MEUBEL CUSTOM,"DESA LOMBOK KULON RT. 007, RW. 003"
TOKO EMIL,"DESA LOMBOK KULON RT.07 RW. 03
KECAMATAN WONOSARI KABUPATEN BONDOWOSO"
UD SUMBER JAYA,DUSUN KASEMEK RT.010 RW.005
Zirropizza,Jl. Zainul arifin no 2 
MulyaCELL,Jln. PB. Sudirman No. 45
aira kitchen,jl brigpol sudarlan rt 012 rw 004
Daging ayam buk tatik,"Sumpelan utara,lumutan botolinggo"
GWANGJU,JL Y REKSOSISWOYO RT 14 RW 06
Kue Kering dan Basah,Desa Bataan Kecamatan Tenggarang
Monopterus,Jln. Mastrip Rt 05 Rw 01 Sukowiryo Bondowoso
Kue ,"Besuk RT 008/02 Kec. Klabang, Kab. Bondowoso"
Kerajinan dari kayu,Jln R.E martadinata  
industri krupuk,dusun krajan I desa klampokan kecamatan klabang kabupaten bondowoso
Gege Cake,"Jl.A Yani 101, RT:03/RW:01 , Dabasah , Bondowoso"
Pengepul telur puyuh dan daging puyuh,"Desa Kajar RT 004 RW 002 , Kecamatan Tenggarang, Kabupaten Bondowoso"
TOKO PRACANGAN,DESA GENTONG RT 07 RW 01
Erna salon,Dusun rowo rt 013/005
PEDAGANG,JL KISAMANGUNSARKORO 08 RT.30 RW.07
BERKAH JAYA,Rt.14 / Rw. 06
PENJUAL ES,KARANG RT.14 RW.05
UD HUSAIN,DUSUN BARAT CURAH RT.009 RW.003
Sandi Jaya,"Jalan Raya Wringin
Pertokoan Lembung Raya"
Pedagang Gorengan,Dusun Jasaba RT 25 RW 08
AL - BAROKAH,NOGOSARI Rt.19 Rw.04
Dagangan Sayur-mayur,Desa Pancoran RT 26 RW 10 Kelurahan Pancoran Kecamatan Bondowoso
TOKO SUMBER REJEKI,JL.RAYA PAKISAN KEJAYAN
pedagang makanan dan minuman,JL. R.A KARTINI NO. 880 BONDOWOSO
TOKO ERNI,BATAAN RT 06 RW 02
ENY COOKIES,PB. SUDIRMAN I/55 RT 020/ RW 005
VICTORIA,PONCOGATI  RT 017 RW 004
WARUNG,KRAJAN RT.06 RW.03
"SALON ""VANDY""",Dusun Krajan Selatan RT 001 RW 001
WARUNG DAN ANGKRINGAN Mr.Bond,LETJEN SOEPRAPTO RT. 014 RW. 003
MEABEL GAVALUM EXPRES,Dusun Kaliayar Selatan RT.017 RW. 004 Tamanan
TOKO BU IMAM,Dalam pasar dadaapn STAN 22
Padagang kerupuk,Dusun karang gilih RT 04/Rw 02
Apotek Avicenna Sehat,Desa wonosari RT 031 RW 010
Apotek Avicenna Sehat 2,Jalan Raya Situbondo D. 21 Desa Kalitapen
Kulinir,Jetis
Rias manten dan dekorasi manten,Jalan raya Situbondo 27 prajekan kidul RT 4 RW 1 Prajekan
"TOKO ""HARAPAN""",Sekarputih RT. 014 RW. 004 
,Sekarputih RT. 014 RW. 004
INDUSTRI KUE,JL. KH AGUS SALIM RT 18 RW 05
Kampung Bikers Shop,Sekarputih masuk gang kampung baru kec.tegalampel kab.bondowoso
WIEN DAPUR,DESA BATAAN RT 002 / RW 001
ERICK SALON,Wonosari RT. 033 RW. 011 Kec. Wonosari Kab. Bondowoso
REPARASI MOBIL DAN CUTTING STICKER,MENGOK
Piscok / Pisang coklat,"SUPRIYADI, RT.014 / RW.003, Kademangan, Bondowoso"
WARUNG RUJAK PUPUT,Kademagnag RT.006/ RW.001
ARIF CC,PERUM PERUMAHAN ALAM REGENCY BLOK D 8
WINNA COLLECTION,Dusun Klapa Sawit Barat RT 006 RW 002
beternak,jln. ayani gg b no. 28 rt.01 rw 01 bondowoso
ANEKA KUE INDAH,LOJAJAR RT.004 RW.002 
ARJUNA,Sumber Sari Maesan
TOKO ESAY MUSAEYANA,Pasar Cermee
"warung ""UMMIK ESI""",jalan letjen suprapto gang pesantren rt 13 rw 03 no.35
Pande Besi,Dusun Bunduh RT. 10 RW. 03
TOKO RAHMAD,Desa Kretek RT.004 RW.001
Zet Laundry,Perum griya klabang permai blok D 10 Rt 14 Rw 03
UD TEBU JAYA,GUNOSARI RT 02 RW 01
ETO WOOD,SUMBERSARI
